Solver command line: ['/projects/sems/install/rhel6-x86_64/pyomo/utility/baron/18.5.9/bin/baron', '/tmp/tmp942i3H.pyomo.bar']

===========================================================================
 BARON version 18.5.9. Built: LNX-64 Wed May 9 23:08:52 EDT 2018 

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/
 Licensee: John Siirola at Sandia National Laboratories, jdsiiro@sandia.gov.

 If you use this software, please cite publications from
 http://www.minlp.com/about-baron, such as: 

 Kilinc, M. and N. V. Sahinidis, Exploiting integrality in the global
 optimization of mixed-integer nonlinear programming problems in BARON,
 Optimization Methods and Software, 33, 540-562, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: ILOG CPLEX                                      
 For NLP: IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Doing local search
 Preprocessing found feasible solution with value  13.6528578553     
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
*         1             1            23.64     3.87328          13.6422    
          1             1            48.86     13.4278          13.6422    
          6+            2            84.01     13.4342          13.6422    
          6             2           116.58     13.4342          13.6422    
          8+            3           150.04     13.4400          13.6422    
         11             2           180.31     13.4400          13.6422    
         13+            3           215.57     13.4516          13.6422    
         14+            3           246.18     13.4516          13.6422    
         16             4           277.55     13.4692          13.6422    
         17+            5           307.55     13.4692          13.6422    
         18             4           337.70     13.4692          13.6422    
         19+            5           373.13     13.5114          13.6422    
         19+            5           403.30     13.5114          13.6422    
         21+            5           433.64     13.5114          13.6422    
         22+            5           463.90     13.5114          13.6422    
         22+            5           494.57     13.5114          13.6422    
         22+            5           525.11     13.5114          13.6422    
         24+            5           555.80     13.5114          13.6422    
         25+            6           587.47     13.5186          13.6422    
         25+            6           618.44     13.5186          13.6422    
         27+            6           649.01     13.5186          13.6422    
         28+            7           679.80     13.5187          13.6422    
         28+            7           710.46     13.5187          13.6422    
         29+            6           741.37     13.5187          13.6422    
         30+            7           772.68     13.5199          13.6422    
         31+            7           807.50     13.5199          13.6422    
         33+            6           838.78     13.5231          13.6422    
         35             7           869.40     13.5231          13.6422    
         36+            7           900.57     13.5231          13.6422    
         36+            7           930.85     13.5231          13.6422    
         38+            7           960.88     13.5246          13.6422    
         41+            6           991.04     13.5246          13.6422    
         43             7          1022.24     13.5250          13.6422    
         44+            8          1052.98     13.5281          13.6422    
         47+            8          1086.11     13.5281          13.6422    
         48+            9          1116.74     13.5281          13.6422    
         50+            9          1160.25     13.5281          13.6422    
         51+            9          1191.03     13.5281          13.6422    
         54            11          1222.38     13.5281          13.6422    
         56+           13          1253.22     13.5281          13.6422    
         62            16          1298.30     13.5281          13.6422    
         69+           20          1343.42     13.5281          13.6422    
         76            22          1376.70     13.5281          13.6422    
         81            23          1408.16     13.5281          13.6422    
         86+           25          1447.05     13.5281          13.6422    
         91            27          1482.02     13.5281          13.6422    
         93            28          1513.08     13.5281          13.6422    
         96            30          1544.90     13.5281          13.6422    
        102+           31          1577.48     13.5281          13.6422    
        104+           31          1608.13     13.5281          13.6422    
        107+           31          1643.61     13.5281          13.6422    
        109+           31          1673.85     13.5281          13.6422    
        111+           31          1713.92     13.5282          13.6422    
        113+           31          1744.07     13.5282          13.6422    
        116            33          1774.71     13.5295          13.6422    
        117+           32          1805.10     13.5295          13.6422    
        119+           33          1840.68     13.5296          13.6422    
        121+           33          1871.89     13.5296          13.6422    
        123+           34          1901.92     13.5302          13.6422    
        124            35          1932.19     13.5302          13.6422    
        125+           34          1962.35     13.5302          13.6422    
        128+           34          1997.92     13.5302          13.6422    
        129+           35          2028.15     13.5302          13.6422    
        131+           36          2063.67     13.5433          13.6422    
        133+           37          2094.73     13.5433          13.6422    
        134+           38          2124.76     13.5443          13.6422    
        135+           39          2160.62     13.5443          13.6422    
        137+           40          2190.88     13.5447          13.6422    
        140+           41          2221.89     13.5447          13.6422    
        142+           42          2251.97     13.5447          13.6422    
        145+           44          2282.20     13.5447          13.6422    
        149            46          2315.04     13.5447          13.6422    
        154            49          2345.79     13.5463          13.6422    
        159            53          2375.95     13.5463          13.6422    
        166            58          2408.73     13.5463          13.6422    
        179            64          2440.24     13.5463          13.6422    
*       181            65          2447.59     13.5463          13.6419    
        190            73          2478.55     13.5463          13.6419    
        216            89          2508.83     13.5470          13.6419    
        279           133          2538.81     13.5471          13.6419    
*       280           134          2549.10     13.5471          13.6408    
        378           203          2591.06     13.5471          13.6408    
        473           272          2635.79     13.5471          13.6408    
        560           339          2665.87     13.5471          13.6408    
        607           373          2696.10     13.5471          13.6408    
        678           422          2726.17     13.5471          13.6408    
        766           486          2766.43     13.5471          13.6408    
        861           555          2806.19     13.5471          13.6408    
        959           626          2836.37     13.5471          13.6408    
       1033           682          2866.60     13.5471          13.6408    
       1085           720          2896.80     13.5471          13.6408    
       1156           771          2932.00     13.5471          13.6408    
       1252           843          2968.70     13.5471          13.6408    
       1345           913          2998.84     13.5471          13.6408    
       1412           961          3028.84     13.5472          13.6408    
       1480          1011          3058.86     13.5472          13.6408    
       1543          1057          3092.93     13.5472          13.6408    
       1639          1125          3123.19     13.5472          13.6408    
       1673          1153          3153.21     13.5472          13.6408    
       1745          1202          3183.51     13.5472          13.6408    
       1835          1267          3220.57     13.5472          13.6408    
       1930+         1339          3260.45     13.5472          13.6408    
       2026          1406          3290.69     13.5472          13.6408    
       2094          1459          3320.69     13.5472          13.6408    
       2166          1510          3350.99     13.5472          13.6408    
       2232          1562          3381.18     13.5472          13.6408    
       2322+         1622          3417.11     13.5472          13.6408    
       2402          1680          3447.25     13.5472          13.6408    
       2471          1731          3477.52     13.5472          13.6408    
       2545          1786          3507.68     13.5472          13.6408    
       2617          1838          3539.60     13.5472          13.6408    
       2713          1909          3569.65     13.5472          13.6408    
       2768          1950          3599.68     13.5472          13.6408    
       2822          1992          3629.90     13.5472          13.6408    
       2910          2055          3667.68     13.5472          13.6408    
       3008          2127          3709.61     13.5472          13.6408    
       3105          2202          3750.86     13.5472          13.6408    
       3202          2268          3780.89     13.5472          13.6408    
       3251          2303          3811.14     13.5472          13.6408    
       3307          2343          3841.27     13.5472          13.6408    
       3399+         2409          3873.53     13.5472          13.6408    
       3465          2457          3903.84     13.5472          13.6408    
       3512          2494          3934.04     13.5472          13.6408    
       3596          2555          3970.40     13.5472          13.6408    
       3691          2622          4000.39     13.5472          13.6408    
       3767          2678          4030.46     13.5472          13.6408    
       3829          2724          4060.61     13.5472          13.6408    
       3904          2778          4090.64     13.5472          13.6408    
       3986+         2840          4125.53     13.5472          13.6408    
       4077          2908          4155.71     13.5472          13.6408    
       4153          2964          4185.99     13.5472          13.6408    
       4206          3002          4216.09     13.5472          13.6408    
       4280          3054          4250.35     13.5472          13.6408    
       4378          3127          4280.66     13.5472          13.6408    
       4440          3176          4310.68     13.5472          13.6408    
       4504          3220          4340.87     13.5472          13.6408    
       4578          3274          4376.62     13.5472          13.6408    
       4673          3343          4406.85     13.5472          13.6408    
       4683          3351          4436.87     13.5472          13.6408    
       4772          3423          4481.51     13.5472          13.6408    
       4871          3509          4520.25     13.5472          13.6408    
       4969          3587          4550.45     13.5472          13.6408    
       5028          3634          4580.52     13.5472          13.6408    
       5103          3690          4610.72     13.5472          13.6408    
       5169          3743          4654.97     13.5472          13.6408    
       5266          3814          4684.98     13.5472          13.6408    
       5308          3844          4715.20     13.5472          13.6408    
       5368          3892          4751.72     13.5472          13.6408    
       5466          3964          4781.81     13.5472          13.6408    
       5538          4014          4811.99     13.5472          13.6408    
       5609          4070          4842.20     13.5472          13.6408    
       5685          4122          4872.36     13.5472          13.6408    
       5767          4184          4908.41     13.5472          13.6408    
       5865          4261          4938.49     13.5472          13.6408    
       5916          4298          4968.72     13.5472          13.6408    
       5973          4340          4998.82     13.5472          13.6408    
       6067          4411          5046.41     13.5472          13.6408    
       6162          4481          5076.42     13.5472          13.6408    
       6217          4518          5106.44     13.5472          13.6408    
       6300          4583          5136.56     13.5472          13.6408    
       6372          4630          5166.71     13.5472          13.6408    
       6462+         4695          5196.71     13.5472          13.6408    
       6538          4750          5226.96     13.5472          13.6408    
       6625          4811          5256.99     13.5472          13.6408    
       6679          4847          5287.08     13.5472          13.6408    
       6761          4904          5331.75     13.5472          13.6408    
       6857          4962          5361.90     13.5472          13.6408    
       6889          4983          5392.14     13.5472          13.6408    
       6958          5028          5424.43     13.5472          13.6408    
       7055          5088          5454.55     13.5472          13.6408    
       7119          5122          5484.73     13.5472          13.6408    
       7179          5168          5514.81     13.5472          13.6408    
       7257          5224          5545.05     13.5472          13.6408    
       7345          5291          5583.47     13.5472          13.6408    
       7445+         5367          5626.48     13.5472          13.6408    
       7539          5433          5656.67     13.5472          13.6408    
       7613          5484          5686.87     13.5472          13.6408    
       7666          5523          5717.01     13.5472          13.6408    
       7739+         5578          5747.66     13.5472          13.6408    
       7802          5629          5777.73     13.5472          13.6408    
       7884          5686          5807.94     13.5472          13.6408    
       7940          5725          5843.31     13.5472          13.6408    
       8037          5795          5873.33     13.5472          13.6408    
       8061          5815          5903.57     13.5472          13.6408    
       8135          5869          5938.06     13.5472          13.6408    
       8229          5934          5968.21     13.5472          13.6408    
       8300          5985          5998.32     13.5472          13.6408    
       8355          6025          6028.52     13.5472          13.6408    
       8433          6087          6062.23     13.5472          13.6408    
       8532          6154          6092.30     13.5472          13.6408    
       8600          6204          6122.43     13.5472          13.6408    
       8647          6238          6152.66     13.5472          13.6408    
       8733          6306          6191.99     13.5472          13.6408    
       8832          6373          6222.24     13.5472          13.6408    
       8903          6431          6252.37     13.5472          13.6408    
       8987          6493          6282.49     13.5472          13.6408    
       9036          6526          6319.49     13.5472          13.6408    
       9133          6596          6349.60     13.5472          13.6408    
       9170          6621          6379.61     13.5472          13.6408    
       9234          6671          6415.64     13.5472          13.6408    
       9328+         6738          6455.13     13.5472          13.6408    
       9393          6787          6485.30     13.5472          13.6408    
       9449          6829          6515.42     13.5472          13.6408    
       9527          6885          6548.15     13.5472          13.6408    
       9624          6954          6578.31     13.5472          13.6408    
       9670          6989          6608.45     13.5472          13.6408    
       9748          7049          6638.62     13.5472          13.6408    
       9826          7106          6675.21     13.5472          13.6408    
       9923          7181          6705.42     13.5472          13.6408    
       9978          7219          6735.70     13.5472          13.6408    
      10032          7252          6765.83     13.5472          13.6408    
      10125          7327          6810.13     13.5472          13.6408    
      10219          7398          6840.32     13.5472          13.6408    
      10283          7440          6870.60     13.5472          13.6408    
      10360          7499          6900.90     13.5472          13.6408    
      10431          7546          6931.26     13.5472          13.6408    
      10521          7611          6967.33     13.5472          13.6408    
      10614          7681          6997.55     13.5472          13.6408    
      10674          7725          7027.60     13.5472          13.6408    
      10718          7760          7065.56     13.5472          13.6408    
      10816          7835          7095.58     13.5472          13.6408    
      10871          7874          7125.64     13.5472          13.6408    
      10932          7916          7155.91     13.5472          13.6408    
      11015          7976          7204.06     13.5472          13.6408    
      11111          8045          7234.21     13.5472          13.6408    
      11179          8093          7264.27     13.5472          13.6408    
      11247          8143          7294.46     13.5472          13.6408    
      11321          8199          7324.69     13.5472          13.6408    
      11413          8265          7362.50     13.5472          13.6408    
      11511          8343          7392.70     13.5472          13.6408    
      11584          8398          7422.87     13.5472          13.6408    
      11625          8432          7453.05     13.5472          13.6408    
      11713          8495          7492.05     13.5472          13.6408    
      11811          8563          7522.32     13.5472          13.6408    
      11872          8602          7552.55     13.5472          13.6408    
      11945          8653          7582.83     13.5472          13.6408    
      12020          8709          7613.10     13.5472          13.6408    
      12109          8775          7650.52     13.5472          13.6408    
      12203          8846          7680.70     13.5472          13.6408    
      12257          8884          7710.96     13.5472          13.6408    
      12323          8929          7741.18     13.5472          13.6408    
      12406          8993          7777.00     13.5472          13.6408    
      12504          9062          7807.11     13.5472          13.6408    
      12581          9120          7837.30     13.5472          13.6408    
      12653          9173          7867.61     13.5472          13.6408    
      12712          9221          7897.76     13.5472          13.6408    
      12803          9288          7933.70     13.5472          13.6408    
      12903          9362          7963.74     13.5472          13.6408    
      12929          9378          7993.91     13.5472          13.6408    
      13004          9430          8029.21     13.5472          13.6408    
      13103          9497          8059.43     13.5472          13.6408    
      13151          9534          8089.46     13.5472          13.6408    
      13227          9589          8119.65     13.5472          13.6408    
      13305          9646          8150.71     13.5472          13.6408    
      13403          9729          8180.84     13.5472          13.6408    
      13460          9771          8210.91     13.5472          13.6408    
      13508          9807          8241.14     13.5472          13.6408    
      13602          9877          8290.19     13.5472          13.6408    
      13700          9954          8320.48     13.5472          13.6408    
      13754          9996          8350.73     13.5472          13.6408    
      13813         10040          8380.98     13.5472          13.6408    
      13900+        10102          8418.51     13.5472          13.6408    
      13982         10163          8448.69     13.5472          13.6408    
      14061         10214          8478.85     13.5472          13.6408    
      14130         10263          8508.90     13.5472          13.6408    
      14201         10310          8546.15     13.5472          13.6408    
      14298         10376          8576.39     13.5472          13.6408    
      14338         10403          8606.63     13.5472          13.6408    
      14409         10456          8636.83     13.5472          13.6408    
      14500         10523          8673.55     13.5472          13.6408    
      14598         10593          8703.76     13.5472          13.6408    
      14643         10625          8733.85     13.5472          13.6408    
      14700         10667          8764.99     13.5472          13.6408    
      14798+        10741          8807.06     13.5472          13.6408    
      14893         10813          8837.31     13.5472          13.6408    
      14965         10867          8867.57     13.5472          13.6408    
      15035         10919          8897.84     13.5472          13.6408    
      15097         10961          8944.54     13.5472          13.6408    
      15193         11031          8974.63     13.5472          13.6408    
      15255         11074          9004.71     13.5472          13.6408    
      15325         11127          9034.93     13.5472          13.6408    
      15397         11184          9066.22     13.5472          13.6408    
      15491         11247          9096.41     13.5472          13.6408    
      15547         11287          9126.46     13.5472          13.6408    
      15599         11325          9156.62     13.5472          13.6408    
      15696         11399          9201.57     13.5472          13.6408    
      15792         11467          9231.72     13.5472          13.6408    
      15846         11507          9261.81     13.5472          13.6408    
      15893+        11550          9293.57     13.5472          13.6408    
      15987         11614          9323.69     13.5472          13.6408    
      16061         11661          9353.77     13.5472          13.6408    
      16131         11713          9384.06     13.5472          13.6408    
      16196+        11766          9414.29     13.5472          13.6408    
      16290         11837          9444.30     13.5472          13.6408    
      16362         11888          9474.49     13.5472          13.6408    
      16431         11938          9504.51     13.5472          13.6408    
      16498         11985          9534.77     13.5472          13.6408    
      16596         12053          9569.88     13.5472          13.6408    
      16694         12125          9600.11     13.5472          13.6408    
      16761         12174          9630.34     13.5472          13.6408    
      16794         12199          9664.99     13.5472          13.6408    
